,date,gender,age,has_worked,hours_studied,wakeup_time,bed_time,n_coffein,screen_time,has_meat,exercise_hours,water,social_hours,newspaper_time,fatigue_score,democracy_score,happiness_score,user_id
0,2021-03-02,male,36.0,1,0.0,9:00,3:00,4.0,13.0,1,0,1,2.0,1,3.0,5.0,5.0,0
1,2021-03-03,male,36.0,1,2.5,8:50,2:30,4.0,12.0,1,0,1,3.0,1,4.0,5.0,6.0,0
2,2021-03-04,male,36.0,1,3.0,8:30,3:30,4.0,13.0,1,0,1,2.0,1,4.0,5.0,5.0,0
3,2021-03-05,male,36.0,1,0.0,8:30,0:00,4.0,7.0,1,1,"1,5",12.0,"0,5",5.0,5.0,6.0,0
4,2021-03-06,male,36.0,0,0.0,6:30,0:30,4.0,4.0,1,1,1,14.0,0,6.0,5.0,6.0,0
5,2021-03-07,male,36.0,0,1.0,9:00,4:00,5.0,9.0,1,"0,5",1,8.0,1,6.0,5.0,5.0,0
6,2021-03-08,male,36.0,1,3.0,8:50,1:30,6.0,13.0,1,0,2,2.0,1,6.0,5.0,5.0,0
7,2021-03-09,male,36.0,1,0.0,8:50,1:30,4.0,12.0,1,0,1,4.0,1,5.0,5.0,5.0,0
8,2021-03-10,male,36.0,1,0.0,9:00,1:00,4.0,13.0,1,0,2,4.0,"0,5",5.0,5.0,5.0,0
9,2021-03-11,male,36.0,1,0.0,9:00,1:30,4.0,13.0,1,0,1,3.0,1,5.0,5.0,5.0,0
10,2021-03-12,male,36.0,1,0.0,9:50,4:00,4.0,10.0,1,0,2,8.0,2,5.0,5.0,5.0,0
11,2021-03-13,male,36.0,0,0.0,10:00,4:30,6.0,10.0,1,1,"0,5",14.0,0,5.0,5.0,6.0,0
12,2021-03-14,male,36.0,1,0.0,10:30,2:45,4.0,10.0,0,0,2,8.0,0,4.0,5.0,4.0,0
13,2021.03.02,male,22.0,yes,1.0,9:00,1:00,0.0,4.0,yes,0,,5.0,,3.0,2.0,5.0,1
14,2021.03.03,male,22.0,no,2.0,9:30,1:30,0.0,5.0,yes,0,,4.0,,3.0,2.0,5.0,1
15,2021.03.04,male,22.0,yes,2.0,11:30,2:00,0.0,7.0,yes,2,,4.0,,3.0,2.0,7.0,1
16,2021.03.05,male,22.0,no,3.0,8:00,0:00,0.0,6.0,no,2,,5.0,,9.0,2.0,8.0,1
17,2021.03.06,male,22.0,yes,1.0,10:00,1:30,1.0,10.0,yes,0,,5.0,,6.0,2.0,6.0,1
18,2021.03.07,male,22.0,no,0.0,7:30,23:30,0.0,6.0,yes,0,,7.0,,7.0,2.0,8.0,1
19,2021.03.08,male,22.0,yes,0.0,10:00,3:00,1.0,9.0,yes,0,,6.0,,3.0,2.0,6.0,1
20,2021.03.09,male,22.0,no,2.0,10:00,1:00,0.0,9.0,yes,0,,3.0,,3.0,2.0,6.0,1
21,2021.03.10,male,22.0,yes,3.0,9:00,1:30,0.0,6.0,yes,0,,5.0,,3.0,2.0,5.0,1
22,2021.03.11,male,22.0,no,0.0,8:30,1:00,0.0,5.0,yes,2,,4.0,,9.0,2.0,7.0,1
23,2021.03.12,male,22.0,yes,1.0,9:00,0:30,0.0,6.0,no,2,,4.0,,9.0,2.0,8.0,1
24,2021.03.13,male,22.0,no,0.0,9:30,1:00,0.0,7.0,yes,0,,6.0,,5.0,2.0,7.0,1
25,2021.03.14,male,22.0,yes,1.0,8:00,0:30,0.0,10.0,yes,0,,4.0,,5.0,2.0,4.0,1
26,2021.03.15,male,22.0,no,1.0,8:30,4:00,0.0,3.0,yes,4,,8.0,,10.0,2.0,6.0,1
27,2021.03.02,male,21.0,no,6.0,7:50,23:30,1.0,12.0,1.0,0.65,2.5,2.0,2.0,2.0,6.0,6.0,2
28,2021.03.03,male,21.0,yes,0.0,8:20,23:50,2.0,11.0,1.0,0.0,2.0,2.0,3.0,4.0,6.0,7.0,2
29,2021.03.04,male,21.0,yes,2.0,7:40,0:10,2.0,10.0,1.0,0.0,2.0,1.0,2.0,4.0,8.0,6.0,2
30,2021.03.05,male,21.0,no,2.0,7:40,23:50,1.0,11.0,1.0,0.6,2.5,2.0,3.0,5.0,7.0,6.0,2
31,2021.03.06,male,21.0,no,0.0,8:30,23:40,0.0,12.0,1.0,0.833333333,3.0,3.0,1.0,5.0,7.0,6.0,2
32,2021.03.07,male,21.0,no,0.0,8:40,0:00,1.0,7.0,1.0,0.0,2.0,4.0,1.0,5.0,7.0,6.0,2
33,2021.03.08,male,21.0,no,6.0,8:00,23:50,1.0,13.0,1.0,0.0,1.5,2.0,1.0,1.0,7.0,4.0,2
34,2021.03.09,male,21.0,no,6.0,7:45,0:15,1.0,12.0,1.0,0.5,2.0,3.0,1.0,3.0,7.0,5.0,2
35,2021.03.10,male,21.0,yes,0.0,8:20,0:10,2.0,10.0,1.0,0.0,2.5,4.0,2.0,5.0,7.0,7.0,2
36,2021.03.11,male,21.0,yes,0.0,8:30,23:20,0.0,10.0,1.0,0.5,2.0,3.0,2.0,4.0,7.0,6.0,2
37,2021.03.12,male,21.0,yes,2.0,7:45,23:40,1.0,8.0,1.0,0.0,2.5,3.0,1.5,5.0,7.0,6.0,2
38,2021.03.13,male,21.0,no,0.0,9:00,23:30,1.0,6.0,1.0,0.6,2.5,5.0,2.0,5.0,7.0,7.0,2
39,2021.03.14,male,21.0,no,0.0,8:00,23:40,1.0,7.0,1.0,0.5,2.5,6.0,1.0,6.0,7.0,8.0,2
40,,,,,,,,,,,,,,,,,,2
41,,,,,,,,,,,,,,,,,,2
42,1,male,21.0,1,8.0,10:00:00,1:40:00,4.0,12.0,1,"0,25","3,00","0,25","0,00","4,00","3,00","3,00",3
43,2,male,21.0,0,8.0,8:20:00,1:30:00,4.0,13.0,1,0,"3,00","0,15","0,10","5,00","2,00","2,00",3
44,3,male,21.0,0,6.0,9:50:00,2:20:00,3.0,12.0,1,"0,25","3,50","0,00","0,15","3,00","3,00","3,00",3
45,4,male,21.0,0,5.0,10:40:00,2:30:00,3.0,13.0,1,"0,5","4,00","1,50","0,50","3,00","2,00","4,00",3
46,5,male,21.0,0,10.0,10:00:00,2:50:00,3.0,14.0,0,"0,25","4,50","0,00","0,25","4,00","4,00","4,00",3
47,6,male,21.0,0,6.0,8:30:00,2:25:00,3.0,14.0,1,"0,5","3,50","0,50","0,10","2,00","1,00","5,00",3
48,7,male,21.0,0,9.0,10:40:00,2:10:00,4.0,10.0,1,"0,2","3,00","0,00","0,20","1,50","2,00","4,00",3
49,8,male,21.0,0,7.0,10:00:00,2:00:00,3.0,12.0,1,"0,2","3,50","0,20","0,10","4,00","2,00","2,00",3
50,9,male,21.0,0,4.0,8:00:00,2:20:00,4.0,11.0,1,"0,15","4,50","5,00","0,00","2,00","1,00","7,00",3
51,10,male,21.0,1,3.0,10:00:00,2:00:00,3.0,12.0,1,"0,25","3,50","1,50","0,30","3,00","3,00","2,00",3
52,11,male,21.0,0,2.0,11:30:00,2:30:00,3.0,9.0,1,"0,2","4,00","0,00","0,40","3,00","2,00","4,00",3
53,12,male,21.0,0,10.0,8:00:00,2:00:00,3.0,14.0,0,"0,15","3,50","1,00","0,50","2,00","1,00","5,00",3
54,13,male,21.0,0,1.0,9:45:00,3:15:00,2.0,6.0,1,0,"4,50","14,00","0,00","6,00","2,00","9,00",3
55,14,male,21.0,0,5.0,11:45:00,2:30:00,2.0,11.0,1,"0,2","4,00","0,00","0,10","5,00","3,00","4,00",3
56,20021.03.02.,male,23.0,yes,3,"0,333333333","0,010416667",0.0,,yes,"0,75",,,,7,,7,4
57,20021.03.03.,male,23.0,yes,"4,5","0,333333333",0,0.0,,yes,"0,75",,,,6,,6,4
58,20021.03.04.,male,23.0,yes,"1,5","0,416666667","0,989583333",0.0,,yes,0,,,,6,,6,4
59,20021.03.05.,male,23.0,yes,"5,5","0,333333333","0,003472222",0.0,,no,1,,,,8,,6,4
60,20021.03.06.,male,23.0,no,2,"0,375","0,996527778",0.0,,yes,"0,75",,,,8,,8,4
61,20021.03.07.,male,23.0,no,3,"0,354166667","0,003472222",0.0,,yes,"0,75",,,,9,,9,4
62,20021.03.08.,male,23.0,yes,3,"0,333333333","0,993055556",0.0,,yes,"0,65",,,,6,,6,4
63,20021.03.09.,male,23.0,yes,3,"0,333333333",0,0.0,,yes,0,,,,8,,8,4
64,20021.03.10.,male,23.0,yes,5,"0,333333333","0,027777778",0.0,,yes,1,,,,6,,6,4
65,20021.03.11.,male,23.0,yes,"1,5","0,416666667","0,989583333",0.0,,yes,"0,7",,,,7,,6,4
66,20021.03.12.,male,23.0,yes,6,"0,333333333","0,010416667",0.0,,no,"0,75",,,,7,,6,4
67,20021.03.13.,male,23.0,no,"1,5","0,375","0,083333333",0.0,,yes,0,,,,8,,9,4
68,20021.03.14.,male,23.0,no,1,"0,333333333",,0.0,,yes,"0,75",,,,9,,6,4
69,02/03/2021,male,22.0,0,6,04:45,00:00,2.0,10.0,1,1,3,00:20,01:30,10.0,,8.0,5
70,03/03/2021,male,22.0,0,5,05:15,22:45,2.0,8.0,1,0,2.5,01:00,01:10,10.0,,7.0,5
71,04/03/2021,male,22.0,0,8,05:30,22:30,2.0,11.0,1,1,3.5,00:00,02:00,9.0,,6.0,5
72,05/03/2021,male,22.0,0,9,05:00,21:30,3.0,12.5,1,0,4,01:30,03:00,7.0,,9.0,5
73,06/03/2021,male,22.0,0,10,04:45,22:00,2.0,14.0,1,1,4.5,01:00,02:30,7.0,,8.0,5
74,07/03/2021,male,22.0,0,6,05:30,22:00,3.0,9.0,1,01:30,3.5,03:00,01:00,8.0,,7.0,5
75,08/03/2021,male,22.0,0,12,04:45,22:30,3.0,14.0,1,0,5,00:30,01:00,7.0,,9.0,5
76,09/03/2021,male,22.0,0,10,05:20,23:15,2.0,12.0,1,0,4,00:00,01:30,9.0,,7.0,5
77,10/03/2021,male,22.0,0,4,06:30,21:30,2.0,10.0,1,0,3.5,02:00,03:00,6.0,,8.0,5
78,11/03/2021,male,22.0,0,6,04:45,23:00,2.0,14.0,1,0,3.5,01:00,02:00,5.0,,7.0,5
79,12/03/2021,male,22.0,0,8,05:30,22:30,2.0,13.0,1,0,4,00:30,02:30,5.0,,7.0,5
80,13/03/2021,male,22.0,0,5,06:30,23:00,2.0,14.0,1,0,3.5,02:00,02:30,6.0,,8.0,5
81,14/03/2021,male,22.0,0,4,06:00,00:00,2.0,12.0,1,0,3.5,02:30,01:30,6.0,,9.0,5
82,15/03/2021,male,22.0,0,6,05:30,,2.0,,1,1, ,,,,,,5
83,02/03/2021,male,26.0,Y,1.5,7:15,23:15,3.0,13.5,Y,0.45,2.5,2.0,1.5,7,8,7,6
84,03/03/2021,male,26.0,Y,1.0,7:05,23:05,3.0,12.0,Y,0.4,3.0,2.5,2.0,6,7,7,6
85,04/03/2021,male,26.0,Y,2.0,7:35,23:30,3.0,14.0,Y,0.0,2.0,3.0,1.5,7,9,7,6
86,05/03/2021,male,26.0,Y,2.5,8:10,23:50,3.0,13.0,N,0.0,3.0,2.0,2.0,6,8,8,6
87,06/03/2021,male,26.0,N,4.0,8:15,23:20,3.0,7.0,Y,0.45,2.5,3.0,2.5,7,8,8,6
88,07/03/2021,male,26.0,N,3.0,8:20,23:10,3.0,7.0,Y,0.0,3.0,3.0,2.0,7,8,7,6
89,08/03/2021,male,26.0,Y,3.0,7:10,23:55,3.0,13.0,Y,0.45,3.0,2.0,1.0,7,7,7,6
90,09/03/2021,male,26.0,Y,1.0,8:10,23:10,3.0,12.5,N,0.0,2.0,1.0,1.0,6,8,7,6
91,10/03/2021,male,26.0,Y,2.0,7:25,23:30,3.0,13.5,Y,0.0,2.5,2.0,1.5,6,7,6,6
92,11/03/2021,male,26.0,Y,2.0,7:35,23:20,3.0,12.0,N,0.45,2.0,2.0,1.0,7,7,8,6
93,12/03/2021,male,26.0,Y,0.0,6:35,23:05,3.0,12.5,Y,0.0,2.0,3.5,1.5,7,8,8,6
94,13/03/2021,male,26.0,N,0.0,6:55,23:10,3.0,3.0,Y,0.45,3.0,3.0,1.0,8,7,8,6
95,14/03/2021,male,26.0,N,3.0,6:45,23:00,3.0,6.0,Y,0.45,3.0,3.5,2.0,7,7,8,6
96,15/03/2021,male,26.0,N,,7:15,,3.0,7.0,N,0.45,2.0,3.0,1.5,7,8,7,6
97,20021.03.02.,male,21.0,no,3,8:00,0:15,0.0,7.0,yes,"1,5","2,5",8,8,3,,8,7
98,20021.03.03.,male,21.0,no,2,7:35,1:30,0.0,4.0,yes,0,"3,5",4,6,9,,6,7
99,20021.03.04.,male,21.0,no,3,8:00,23:30,0.0,7.0,yes,0,3,2,7,7,,7,7
100,20021.03.05.,male,21.0,no,6,8:00,23:20,1.0,9.0,no,"1,5","2,5",3,6,4,,8,7
101,20021.03.06.,male,21.0,no,1,7:45,0:10,1.0,10.0,yes,"0,75",2,3,5,5,,6,7
102,20021.03.07.,male,21.0,no,2,8:30,3:45,0.0,6.0,yes,"0,5",3,10,8,5,,9,7
103,20021.03.08.,male,21.0,no,6,10:00,23:50,2.0,8.0,yes,0,"2,5","1,5",6,8,,5,7
104,20021.03.09.,male,21.0,no,6,7:30,0:00,0.0,7.0,yes,0,3,2,4,6,,6,7
105,20021.03.10.,male,21.0,no,7,7:30,0:40,1.0,8.0,yes,"1,5","2,5",1,9,7,,8,7
106,20021.03.11.,male,21.0,no,7,7:30,23:45,1.0,9.0,yes,2,"2,5","1,5",7,9,,4,7
107,20021.03.12.,male,21.0,no,6,7:30,0:15,0.0,7.0,no,"1,5",2,3,10,5,,4,7
108,20021.03.13.,male,21.0,no,2,8:00,2:00,1.0,5.0,yes,0,3,12,5,6,,6,7
109,20021.03.14.,male,21.0,no,3,8:30,0:00,1.0,6.0,yes,0,3,1,7,8,,5,7
110,20021.03.15.,male,21.0,no,3,8:00,,2.0,,yes,"1,5","2,5",6,5,5,,8,7
111,2021.03.02,M,24.0,1,0,6:45,22:05,1.0,12.0,0,90,3.0,0.0,30.0,4.0,8.0,8.0,8
112,2021.03.03,M,24.0,1,0,6:30,22:10,2.0,11.0,0,45,5.0,0.0,20.0,3.0,6.0,7.0,8
113,2021.03.04,M,24.0,1,0,6:30,22:10,2.0,11.0,0,52,5.0,1.0,30.0,3.0,9.0,9.0,8
114,2021.03.05,M,24.0,1,0,6:45,1:30,2.0,10.0,1,45,5.0,6.0,50.0,8.0,10.0,10.0,8
115,2021.03.06,M,24.0,0,0,7:00,23:59,1.0,10.0,1,10,3.5,12.0,20.0,1.0,10.0,10.0,8
116,2021.03.07,M,24.0,0,0,8:00,22:10,1.0,4.0,1,120,4.0,4.0,20.0,3.0,7.0,8.0,8
117,2021.03.08,M,24.0,1,0,6:45,0:30,2.0,16.0,1,45,4.0,1.0,20.0,3.0,7.0,6.0,8
118,2021.03.09,M,24.0,1,0,7:45,22:15,2.0,12.0,1,15,4.0,0.0,10.0,3.0,8.0,9.0,8
119,2021.03.10,M,24.0,1,0,6:45,22:20,1.0,12.0,0,45,4.0,0.0,10.0,4.0,5.0,7.0,8
120,2021.03.11,M,24.0,1,0,6:45,22:20,2.0,14.0,0,30,4.0,2.0,10.0,4.0,5.0,7.0,8
121,2021.03.12,M,24.0,1,0,6:45,22:30,2.0,14.0,1,40,4.0,2.0,10.0,3.0,5.0,8.0,8
122,2021.03.13,M,24.0,0,0,7:30,22:20,0.0,6.0,0,45,2.0,0.0,20.0,7.0,6.0,6.0,8
123,2021.03.14,M,24.0,0,0,7:15,22:00,0.0,8.0,1,45,3.0,0.0,30.0,4.0,6.0,5.0,8
124,2021.03.15,M,24.0,0,0,7:00,,1.0,4.0,0,60,,,,,,,8
125,2021.03.02,female,21.0,0,5,10:00,0:30,1.0,14.0,1,1.5,3.0,1.5,0.5,2,7,8.0,9
126,2021.03.03,female,21.0,0,3,9:00,1:20,1.0,12.0,1,0.0,2.0,0.5,0.0,6,7,6.0,9
127,2021.03.04,female,21.0,0,4,10:00,1:00,1.0,7.0,1,0.5,2.0,6.0,0.0,2,7,8.0,9
128,2021.03.05,female,21.0,0,4,7:40,1:30,1.0,7.0,1,0.0,2.0,10.0,0.0,4,7,8.0,9
129,2021.03.06,female,21.0,0,0,7:40,1:00,1.0,15.0,1,0.0,1.5,9.0,0.0,3,7,9.9,9
130,2021.03.07,female,21.0,0,3,10:00,7:40,1.0,8.5,1,0.5,2.0,3.0,0.0,4,7,9.5,9
131,2021.03.08,female,21.0,0,10,12:00,1:30,3.0,15.0,1,0.0,2.0,1.0,0.5,5,7,8.0,9
132,2021.03.09,female,21.0,0,5,8:30,1:30,2.0,9.0,1,1.0,2.5,2.0,0.5,2,7,8.0,9
133,2021.03.10,female,21.0,0,4,10:00,1:30,2.0,5.5,1,0.0,3.0,0.0,1.0,2,7,7.0,9
134,2021.03.11,female,21.0,0,1,10:00,2:00,1.0,7.0,1,0.5,3.0,5.0,0.0,3,7,7.0,9
135,2021.03.12,female,21.0,0,5,10:00,3:00,2.0,6.5,1,0.0,3.0,6.0,0.5,1,7,9.0,9
136,2021.03.13,female,21.0,0,4,9:30,2:00,1.0,6.0,1,1.5,3.5,10.0,0.5,1,7,9.0,9
137,2021.03.14,female,21.0,0,4,8:30,4:00,1.0,5.5,1,0.0,2.0,12.0,0.5,1,7,9.0,9
138,2021.03.02.,women,24.0,yes,"1,50",7:30,24:00:00,1.0,12.0,no,1,3,0,1,4,4,4,10
139,2021.03.03.,women,24.0,yes,"0,00",7:30,23:00,1.0,11.0,no,1,3,0,1,2,3,3,10
140,2021.03.04.,women,24.0,yes,"1,50",7:30,23:30,1.0,12.0,no,0,3,0,4,3,5,3,10
141,2021.03.05.,women,24.0,yes,"1,50",7:30,23:30,1.0,13.0,no,1,3,1,3,3,4,4,10
142,2021.03.06.,women,24.0,no,"0,00",8:30,22:00,1.0,12.0,no,1,3,2,1,3,5,3,10
143,2021.03.07.,women,24.0,no,"0,00",8:30,22:00,1.0,4.0,no,5,3,5,1,5,4,6,10
144,2021.03.08.,women,24.0,yes,"1,50",7:30,23:00,1.0,14.0,no,1,3,0,1,6,4,6,10
145,2021.03.09.,women,24.0,yes,"2,50",7:30,23:00,1.0,13.0,no,1,3,1,1,7,4,5,10
146,2021.03.10.,women,24.0,yes,"1,50",7:30,24:00:00,1.0,8.0,no,1,2,3,1,8,4,8,10
147,2021.03.11.,women,24.0,yes,"3,00",7:30,0:00,1.0,13.0,no,0,2,3,1,8,4,10,10
148,2021.03.12.,women,24.0,yes,"1,50",7:30,23:30,1.0,15.0,no,0,2,2,1,8,4,9,10
149,2021.03.13.,women,24.0,no,"3,00",10:00,23:30,2.0,4.0,no,1,2,5,1,6,4,9,10
150,2021.03.14.,women,24.0,no,"6,00",10:00,23:30,1.0,12.0,no,0,2,2,1,7,4,6,10
151,2021.03.15.,women,24.0,no,"6,00",10:00,,1.0,12.0,no,1,3,0,1,6,4,5,10
152,2021.03.02,Female,25,yes,"0,5",7:00,23:00,6,7,1,"0,5","2,5",0,"1,5",2,8,4,11
153,2021.03.03,Female,25,yes,0,6:30,23:00,4,7,0,1,"1,5",6,"0,5",5,8,6,11
154,2021.03.04,Female,25,yes,0,6:30,23:00,6,8,0,"0,5","2,5",2,1,6,9,8,11
155,2021.03.05,Female,25,yes,3,6:30,23:00,6,9,0,"0,5","2,5",0,1,6,8,7,11
156,2021.03.06,Female,25,no,0,6:30,0:00,3,10,0,0,"1,5",4,0,1,8,7,11
157,2021.03.07,Female,25,no,0,9:00,23:00,3,1,1,2,"1,5",6,"0,5",3,8,8,11
158,2021.03.08,Female,25,yes,3,7:00,23:00,5,10,0,0,2,0,"0,7",4,8,7,11
159,2021.03.09,Female,25,yes,2,7:00,0:00,6,9,0,"0,5","2,5","2,5",1,1,8,6,11
160,2021.03.10,Female,25,yes,0,6:30,22:00,4,6,0,0,"1,5",2,"0,6",5,8,5,11
161,2021.03.11,Female,25,yes,2,6:30,22:00,7,10,0,"0,5",2,0,"0,3",3,8,5,11
162,2021.03.12,Female,25,yes,,6:30,22:00,4,8,1,"0,5","2,5",0,1,4,8,5,11
163,2021.03.13,Female,25,no,0,6:30,22:30,3,0,0,"5,5",2,8,1,4,8,7,11
164,2021.03.14,Female,25,yes,0,7:30,23:00,4,6,1,1,2,3,"0,5",4,8,6,11
165,3/2/2021,1.0,23.0,0.0,6.0,10:00,1:00,4.0,10.0,1.0,0.0,1,0.0,"1,5",2.0,9.0,3.0,12
166,3/3/2021,1.0,23.0,0.0,8.0,10:00,1:00,2.0,11.0,0.0,0.0,1,5.0,1,5.0,9.0,6.0,12
167,3/4/2021,1.0,23.0,0.0,6.0,10:00,1:00,2.0,11.0,1.0,0.0,"1,5",6.0,2,6.0,9.0,6.0,12
168,3/5/2021,1.0,23.0,0.0,6.0,10:00,1:00,3.0,10.0,1.0,0.0,2,0.0,1,6.0,8.0,6.0,12
169,3/6/2021,1.0,23.0,0.0,5.0,10:00,1:00,2.0,10.0,0.0,0.0,"2,5",2.0,0,1.0,9.0,6.0,12
170,3/7/2021,1.0,23.0,0.0,7.0,10:00,1:00,2.0,11.0,1.0,0.0,"1,5",3.0,"0,5",3.0,8.0,8.0,12
171,3/8/2021,1.0,23.0,0.0,8.0,10:00,1:00,3.0,11.0,0.0,0.0,1,0.0,2,4.0,9.0,9.0,12
172,3/9/2021,1.0,23.0,0.0,6.0,10:00,1:00,2.0,8.0,0.0,0.0,1,3.0,1,1.0,9.0,6.0,12
173,3/10/2021,1.0,23.0,0.0,6.0,10:00,1:00,2.0,9.0,0.0,0.0,1,2.0,2,5.0,9.0,9.0,12
174,3/11/2021,1.0,23.0,0.0,6.0,10:00,1:00,2.0,11.0,1.0,0.0,"1,5",0.0,3,3.0,9.0,9.0,12
175,3/12/2021,1.0,23.0,0.0,7.0,10:00,1:00,2.0,11.0,1.0,0.0,"1,5",0.0,1,4.0,9.0,3.0,12
176,3/13/2021,1.0,23.0,0.0,6.0,10:00,1:00,2.0,10.0,0.0,0.0,2,8.0,1,4.0,8.0,3.0,12
177,3/14/2021,1.0,23.0,0.0,6.0,10:00,1:00,2.0,10.0,1.0,0.0,1,3.0,"0,5",4.0,9.0,9.0,12
178,,,,,,,,,,,,,,,,,,12
179,,,,,,,,,,,,,,,,,,12
180,,,,,,,,,,,,,,,,,,12
